,Duration,Call Id,Match,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos,type_Current Customer,type_Hang-ups,type_Other,type_Sales,type_Service,status_Answering Service/Call Center,status_Current Customer,status_Disconnected in Progress,status_Existing Customer Prospect,status_Hang-up,status_Left Message/Voice Mail,status_New Prospect,status_Other,status_Referral Prospect,status_Repeat Caller,Words
113,167,695344380,1,1,0.866025404,0.5,-0.866025404,6.12E-17,-1.84E-16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Christine calling I'm going to need to have somebody out to take a look at my system I'm not gone about a week so restart early and then alternate switches mode which is mode again I think which is 76 degrees and neck recycling I'm on 8th Street doors yeah I could you can cry depends on what they are it is turn off the power breaker Sage 4 likely Amarillo earlier possibly of colon cancer I'm available hey 
119,299,691974283,1,0.965925826,0.707106781,-0.5,-0.5,0.5,0.866025404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,I think Darren were thinking of course that was okay 
125,184,691857482,1,0.965925826,0.707106781,0.5,-0.5,0.5,-1.84E-16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,alright 
131,71,1066672637,1,0.965925826,0.5,-0.866025404,-0.5,0.866025404,1.19E-15,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,my name is Chris I got for you I have a split system that you installed it works just fine however I think I'm a private I look inside like to see some old on the very back to where I can talk to me recently this tell you without thing almost have the entire front piece off hi it says that you do and what would it cost me well they're closed now for the day so I can leave a message for the offer this service so I didn't realize that they caught the answering service picks up after 4:00 or be closed after 4 that's right just came out you're welcome 
137,190,744276701,0,1.22E-16,0,0.5,0.866025404,0.866025404,-1.84E-16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes you are 
143,224,1033230978,0,0.258819045,0,-0.707106781,0.5,0.866025404,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,the Cricket phone in home service period She help when we get snow I was just for a couple small - 6701 to word milk correct what the fuck two things you know one of those boys for a premium was Mel functioning and I actually overslept but my cell War about placing doing Beltran prize doorbell codes us Buick you want us to install a single door Friday what peeps so he said call Robin and so he should be done well as all goes well that's BS prompt Maria my phone does restore yeah Friday after 1 alright alright great hello 
149,101,731004414,1,0.5,0,0.707106781,-1.84E-16,0.866025404,-0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,service Maria speaking how to make a smile alright no problem we just remember 9843 now we are booking into I can get her in for the week or anytime or alright I will call you back perfect okay bye 
155,379,1030242217,0,1.22E-16,0.866025404,-0.258819045,0.866025404,6.12E-17,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Maria speaking how can I make a phone okay are you you're very very soon I can permanently for the quote talking to Chris for me check my schedule we almost 2 o'clock I will have to schedule someone to come out give you a price on we will ask great I can put you on hold for I will talk with my service if he's available this afternoon how late is available okay so I'm just here I can get up there just to let you know that for okay for you okay and I took them home and I woke up this morning thank you 
161,127,742981272,0,1.22E-16,0.258819045,0.5,0.866025404,1,-1.84E-16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,okay I'll give you two numbers my number is 519-472-2323 
167,579,742621422,1,1.22E-16,0,0.707106781,0.866025404,0.866025404,-0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Hi Sam how can I make you smile there so what is it like that for okay okay okay plan yep now have all the sinks and everything okay okay okay another door okay yes sometime that down there has to be home for holidays something like that through your office is available got off okay so I looking for I'm not sure if they would be cool or I can give you right right quicker oh yeah oh yeah that's perfect area 
173,175,731232888,1,0.5,0,-0.866025404,-1.84E-16,0.866025404,1.19E-15,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,say it wasn't alright this is okay alright is on the way we have right for looking for one thing it wasn't able to come tomorrow I can give you a call let me know bye I'll give you a call on Wednesday morning as well so around what time he'll be able to talk that's alright see you bye 
179,161,1047134960,1,0.707106781,0.5,0.707106781,-0.5,0.866025404,-0.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,this Maria speaking how can I make it bye ohh good morning it's Redmond my electrical work for us earlier this month and I was one item left we had a problem it's not an outlet that's how do I clean this it says that Outlook now with listen I'm letting you know when we're ready for unlock it home safe and in this is to come out I'm so we've covered up setting it up now and I wanted to let you know we're ready for an inspection hey what up then and we don't need to come back to us and let us know YouTube Diana voicemail she's in a meeting at the moment and then he will get the inspector arrange for you hello you've reached Ray this and trying to find it but if you leave a mess 5.0 let me know my number here is 519-471-3741 how do some electrical work for us earlier this summer and the only outstanding matter was we would have put a plane flight off of MLS and now we've we've done that now and he asked me to call into the office and let you know we're ready for analytical instruments through one notes were home so doing that now and the number is 519-471-3741 if you need to give me a call back for more information or Orange cream bye 
185,243,703730672,1,0.965925826,0.866025404,0.707106781,-1,6.12E-17,-0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,I'm pretty certain 
191,316,697060650,1,1,0.866025404,0.707106781,-0.866025404,6.12E-17,-0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,I know 
197,280,1069011933,1,0.965925826,0.707106781,0.5,-0.5,0.5,-1.84E-16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,hey Graham it's Maria speaking how to make a smile not Smith for some for some electrical work please type of remote which I know you should switch moved to another for the move my life from one light switch set for confirmation work done in our our kitchen so we do we will need to be installed so right now sorry no problem but yes Jody done some Plumbing work for me the first time just wrote my niece phone number 7 to 7:14 take note next week no problem I will just go over a request for money to the VIP Department chicken still there well I will get them to come out to look as you walk through it dollars I hold on 411 Lorraine me an estimate for some electrical work week okay so just so we'll look forward to so wonderful thank you so much 
203,152,1031499150,1,1.22E-16,0.707106781,-0.707106781,0.866025404,0.5,0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Chuck Norris mile customer yours I'm not getting off the water only post and I was wondering if I needed any recommend for a water heater I'm going to be it's not in there so I just wanted recommend hey so no one is here at the office of your question I can have one of our permits give you a call or give you a call tomorrow are you be around tomorrow tomorrow when she was good I'll just meet you at question for me and delete message on voicemail if it works bye bye 
209,216,1031782317,0,1.22E-16,0.5,0.707106781,0.866025404,0.866025404,-0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,did Maria speaking how can I get 5 years ago I need to get fixed all the under cabinet lighting is in in a strep throat and I for some tube and when you turn them on the morning they flashed her about 30 seconds and then they come on just happened I don't I don't know how to fix it I don't want to do it I guess these things were but I don't what I would change to fix it so I need someone look at it I'm doing this for the last six months when you shut them off at me like last one that went off I ignored that anything's wrong but now this morning when I get it when I get up in the morning and turn it on and off and on off and on for about 30 seconds and then it goes on straight so this battery got to be a thing in the system yet I can replace the delay what's a particular 20 Sherwood Chris in Dorchester stuff we need wiring and Heating stuff it was a number it was back in 2015 so nothing will be a box and 5th guarantee and it wouldn't school is back in 2015 okay that's a big thing that's a long time available this Friday there this bright cash so it taste like 10 10 30 when does no still driving is that okay they will attend concerns 10:00 10:30 Friday morning okay I'll wait for call so give you a call our phone number for me to number bye 
215,277,1035540324,0,0.258819045,0,0.5,0.5,0.866025404,-1.84E-16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,it's a great day Maria style specially make an appointment if somebody come over quote on school region and I need to have a note in for the microwave cuz it's going on the stove okay and there's a couple of outlets and I wanted to change and put some track lighting up okay and I want to work on that because I know it yeah okay what does the other night I know just put away the other lighting the feeling and then a light underneath one of the cover and then the two outlets on the side where this is I was told should be GSI I wanted to anyway because we're very tight when I try and be in okay so I wanted to change some anyway and I was told that GF eyes should be in there because of the water that we ask for their bathrooms or anything like that so yes and it's perfect it's no it's no it starting January 2nd also I have never all the stuff done for them now how we look for you before I know that you work in the time at 44 Park Mill Road you've done work here but I don't know what you've done if you've done electrical or Plumbing see your truck out front a lot 500 five oh that was not a lot of work there let me find it here I haven't been working my unit okay we're in the building that hot that's how I know that's probably to call you is because I seen your kindness who sent to 506 quite a bit 503-5007 are you Dennis McDonald game yes Plumbing all that it's not right for form yes yes yes we are so yeah he'll probably your phone number so 519-668-1964 yes so now for my God I will follow my liquor then he'll come on people go over everything first then give you a price back cuz it is due on the spots okay and then I'll just be one there under able to accept Visa Mastercard mouth those dollars he'll give you a price and then when you're ready just come all of that and all that by 6/8 okay okay I want to call first sacked Lee so he will be out a quote 9 for him come up because you can do right on the spot here okay alright so but when we do in Kansas or just clear for me I probably not Friday in the morning from trying to confirm for Friday morning okay Friday afternoon yeah okay I will put in with you so yeah and I will have someone give you a call for one kind of thing yeah my chance okay perfect I will put that in motion someone will contact me they are going to be great bye 
221,164,725873163,0,0.5,0,-0.707106781,-1.84E-16,0.866025404,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,our job here for an electrician to do some replacing a security lighting for the new year can you give me I have a bottle to replace a summary on a couple of properties area right now either myself or my mom I know it's something simple I can do girl before now your labor per hour afterwards how much hello there is a thing all you have to do it this swap it out the wiring and everything is all there you don't have to change your night it's also happening and screw a new one on the 2 boxes you know already there installed I'm only one here alright are kicking up alright thank you 
227,96,741585391,0,1.22E-16,0.5,0.866025404,0.866025404,0.866025404,-0.866025404,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,it would be great 
233,130,1032523154,0,0.258819045,0.866025404,0.707106781,0.5,6.12E-17,-0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,date of service Maria speaking how can I make a smile good morning if I could come to our home just take some information from you here and now we have you been to your place before we go Radha this time 6/3 Road West dual x 25 and you are Jennifer you place yes phone number 241-438-4445 so I was that might be out there now what is the one if not now obviously on QuickBooks better I would reopen Wednesday December 5th I think the afternoon and liens to end four score in the morning that's 9 in the upgrade forgot is this Wednesday between 9 and 11 Mike Jarvis now okay alright bye 
239,187,1037856805,0,0.5,0,0.707106781,-1.84E-16,0.866025404,-0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,it's a service Maria speaking how can I make you smile morning about who played in a wreck for Coach Outlet our bathroom that they say yes can I take me back to me for me for you and I sent but it will what is the mode and he'll go over everything with that amount remember of us know if you hurt you use a long black knight this Electric Road West Uniforms you are used MS you are in our system here phone number I have 219-438-4445 know what it was it was where is the outlets I was the one of our Apartments he will come out and we'll go over everything with you first to give you an accurate price on one Bulldog us to go ahead with the work the 59th is Lee and my he's not he's accept cash check Visa or Mastercard and I will you looking to get this a fairly soon or what what time's the neck have first available I have is Wednesday and I've got one of our electricians available in the afternoon or Lakers the last name is mostly well so 2:30 or I will put the help I'll ask you when are looking will be available coming to honestly 150 or half hour great alright well love to talk to you about it I'm a little bad day so far bye bye 
245,126,1031798945,1,1.22E-16,0.5,0.866025404,0.866025404,0.866025404,-0.866025404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,your freaking how can I make a smile my schedule for this morning and forth around knocking be able to ground and what your name is okay that was for an auto correct can reschedule for my mail on my way now to go through so I don't know I've got Monday available I can be press the number 5 x teen specialist to have a nice available what's a good time would you like or Spain if you want first thing after 9 from London I said okay not Zachary yet no not exactly actually I think that I'm just for like a 10:10 appointment with no problem and if it doesn't work this Melissa calling me so we can reschedule that okay so thanks for calling 
251,226,740670257,0,0.258819045,0.866025404,-0.707106781,0.5,6.12E-17,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,with program I guess you're at work okay fair will run faster so happy I hope you get one of our promise to give you an accurate price on that now it has to be out if not now maybe available okay number for Burger you have a good day okay bye 
257,166,715484516,0,0.866025404,0.258819045,-0.5,-0.866025404,1,0.866025404,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,right before information and we spend a set up an appointment and we can have someone come out and give you an accurate price okay hello Iraq Valley 470-3534 okay are you okay alright the first available aha tomorrow Wednesday so I can do Friday broke unless you have a cancelation I can certainly give you a call this semester okay so 12 10-4 okay press 3:00 that's it okay bye 
263,519,740049880,0,0.258819045,0.5,-0.258819045,0.5,0.866025404,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Beaker 
269,309,728429953,0,0.5,0.707106781,0.5,-1.84E-16,0.5,-1.84E-16,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,no problem just take it to your place before set up an appointment someone will come over and go and go over that with you thanks about 1 you are okay compatible that's best for you you know our first available for our efficiency I can next Friday I've got availability for asking for second of herpes okay I will put that out real late morning on Monday I will see you then thank you have a good day bye bye 
275,372,1033401293,1,0.258819045,0,0.707106781,0.5,0.866025404,-0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,okay this is Maria speaking how can I make you smile hi it's Lindsay calling from Emily Avenue and the week of things one of our toilets upstairs or on the ground floor of the 8th leak out for the bank this is in the pain clinic in Venice Beach re filling it says the so we need somebody to take a look at that and the the as we had me mechanism inside replaced a couple years ago and it still is not quite right we had somebody else wants to have a look at this right so that's one thing and the other is we'd like to have somebody take a look at the furnace in just 7x over for the winter I will you're coming post someone will close your eyes that's a m b e r l e y are you at home I can't remember what yes you are yes I will will her she is a strider's the first available I have available for him Friday morning the mall there first thing in the morning first thing hold on here I think this works search the furnace filters girl that's okay I just to my phone here so this okay I got them hi Curtis Dennis the morning for the doctor's appointment the afternoon or or I will put it on Sunday and I was whatever knows afternoon yes yes when our Tech will be arriving on Friday so Friday when I when you say first thing Saturday he could be on site alright just know first thing in the morning and on Friday so if it's 9 Friday of this so okay alright is an ass yes Tony we just left out there cos you're going for your visit if there was I was just going to see your stuff for the furnace for the furnace maintenance since I'm to see when I've got him I know he is a little bit busier than our plumber Monday or Tuesday available and I need Middle School yeah III would work for me not stay at the Monday now I'm see you guys for a morning or afternoon bye yeah probably afternoon would be better when they will be there with you okay alright feel snow Monday this Friday okay now is Brett charge for you are home so he's not going to Part 2 for the best but he'll determine what the problem is and then go from there give you an accurate price we fall back and it'll show you as a friend who furnace you pay for pump plans nearest your yearly maintenance your your life for a year and then he will do that as far as perfect yes I can alright thank you bye bye 
281,285,1033596385,0,0.258819045,0.866025404,-0.5,0.5,6.12E-17,0.866025404,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,service Maria smile I'm a go ahead and put in a a fan for me last week when we had a fireplace install the friend remember but the compactor was upset if he had you guys put me because you comes under his long day and he does like other people go ahead wash August 8th so he said somebody else buy it this is a little anyway the bottom line is simply put a new fan and that's great I don't have a problem with that but the people who have a warranty on it is a session coming and if they can get the sandbags appeared to please give us a cost to charge this to put the new fee 7 kill worth park Susan Parker about to leave right now girls now this has been a bit of pain what is it do you want to ask you some lunch so can we get the defective friend back so he can send it to the Effexor so that is defective and I wouldn't be surprised if you threw it out for the day right get the quite the future if your friend can I just put you on and then okay Best Buy spoke with Carl he says no he does not have the things they do end up periodically and he says it's been in her and I've noticed person is moving to Texas just trying to avoid this being up in the morning anyway thanks Corey 
287,84,1035662249,0,0.258819045,0.965925826,-0.258819045,0.5,-0.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Crown Services this is Britney Martin I believe that we have a year long service contract tenens okay you check I can't you have any answering service I have a problem with the with one of our bath fireplace is not like I'm out issue with the fireplace make that your niece is Susan Clark CLA our k and the address 87 kill worth Park Drive and can I get your phone number 519-473-3217 alright I will let them know well somebody's 
293,114,665786802,0,0.258819045,0.866025404,0.258819045,1,6.12E-17,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,it's a great fun in home service that we make you smile yes talking Jean if it was earlier and I was wondering if I don't know whether he is the person who was wondering if I could make an appointment to see the furnace might be suitable for my home and in order to take me 23 tangle wood all one word tangle City so sword sword Monday or I could do Wednesday afternoon fine okay just one moment so Monday the 29th at 3 o'clock that's and you have my yes you okay thanks so much 
305,178,1033721054,1,0.258819045,0.707106781,0.258819045,0.5,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Connell homes Harris Becky how many miles there is let me crave office or at 15 Central Avenue serviced note how old is furnaces 4 News Alvin Mullins what our problem is happening Newcomer's u.s. general service that it says that there's no issues having clothes from conditioning with the furnace seems a little draft here how you felt super 500 phone number for 94303 I meant if I'm available that we have is improving someone's be great so what I'll give you a call as well we don't know what the temp great I appreciate probably for is it office probably more like 4 hours before Duty 2 okay no problem anytime 
311,313,730374194,1,0.5,0.707106781,-0.707106781,-1.84E-16,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,hi back at 5 Peter up to get internet here it's Roger I got Roger harmful okay listen green label containers coming in that'll interrupt isn't on it does it already you more apparently they need to be plugged into the wall I'm here in Oakland okay okay thanks bye 
317,185,665820027,1,0.258819045,0.866025404,-2.45E-16,1,6.12E-17,0.866025404,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,it's a great service Maria speaking how can I make it's miles from me we bring someone as far as to give a quote on having switches phones as well as think that letter obviously at the the illegal so sorry it's a quote to how many we need currently wired switch on the fan in the lights and they would like them to change to 241 which were the right ones with the stamps problems with everything is the address 145 Central Avenue so I will forward this on to the dispatch department they will give you a call with an exact time and date when someone could come out is there a better time for you or OC Fair from 8 to 4:30 perfect she's like the price forums the bra size car see you Wednesday are you there perfectly we're allowed to get hold of you shortly perfect fishing 
323,181,1034365393,1,0.258819045,0,0.965925826,0.5,0.866025404,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,you're welcome 
329,291,713932142,1,0.866025404,0.5,-2.45E-16,-0.866025404,0.866025404,0.866025404,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,waterfall the Warren if you're wearing John Tang there were some other parts and warm to confirm oh my gosh call me or when she even if I don't program for you guys anything Sorry my phone's been a little crazy yeah I'm here break in talking a warranty thing that's out for like to go if you guys have going on we are not home we want you guys are available go Friday short notice Harlem Park Drive in Berkeley to happen to be in the afternoon I wouldn't be terrible go to be home until 1 o'clock is breaking up hello 7 calendar makeover I'm not lying to you last night Ry find or Miss Verna cookies brownies bed hope you get better 1520 foot table yeah I'll be home by 1:00 I or and so how do we work out there is the way 
335,307,737062868,0,0.258819045,0.707106781,0.258819045,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Lincoln alright I'm there as possible after like 5 or so okay sorry hi there it's a okay and someone else your furnace Q 
341,307,736536668,1,0.258819045,0.258819045,-0.5,0.5,1,0.866025404,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,okay proposal from the Earth price for the Easter hour so instead of 149 inch start with it it's nice yeah so 72195 apparel 
347,73,735868857,1,0.258819045,0.965925826,-2.45E-16,0.5,-0.5,0.866025404,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,thank you 
353,223,734981569,1,0.258819045,0.5,0.707106781,0.5,0.866025404,-0.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,okay so I've gotta vitamins note and we charge your furniture no problem I will schedule you for a time to come back out if you have any okay the first available half I can put in the movies with Brad and then I swear okay so much bye 
359,151,736356546,1,0.258819045,0.258819045,0.866025404,0.5,1,-0.866025404,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Maria speaking how can make it bye no problem I don't know what that is 666 711 okay alright so we were out to your sick like a sticker rude towards coming home okay alright okay to do some covering around okay there will be a $90 from Google for us 
365,168,736074862,1,0.258819045,0,0.707106781,0.5,0.866025404,-0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Republican John Fidel opted in trouble years ago we're having trouble with the one breaker I think it needs replacing a couple how to go I'm someone or how does this work our from the house to that breaker the breakers I guess going to be but I need you guys come on tell me 5 here on Green Huron Greenhill 45516 you have yet I can't member last time together okay are you in the morning okay okay very much 
371,181,1035790489,1,0.258819045,0.866025404,-0.5,0.5,6.12E-17,0.866025404,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Mr credit financial services this is Diana Hoffman make me smile hello yes I'm calling regarding an appointment I need electrician to come to the house so they had electricians here before long what are we doing there for you but I just wondered if there was anyone available to come on the morning of the case in November centrally what I need done is I need a light and called in a bedroom like the wiring there everything I just am open taken down so I am feeling alright sorry go ahead and I also need another steel and I'm feeling like that when the light is on and I'm shocked so I would like that look that was made in late with my painter that put it off okay and I also have for the under Birds lighting receptacles are not working properly can't remember whether Fineman and then or not but anyway I just need them look but because they're not working and stay in for me and also ohh yes I was just wondering why they were here they could help me check fire alarms that I forgot and that's the only time you're available well this is an interrupted by Monday well that's also possibility they have the afternoon as a novel okay how are you first okay so what I'll do is I'll put you in for the 12th if you are an existing customer school with an early release together 2 hour window what we do now is Sarah will give you a call around that you on the progress of our pay their ideas but I can tell you for sure it'll be so yeah that's I mean you're going to call is 10 by shouldn't expect them before 12:30 so absolutely not okay so very much you're very welcome and you have my address there 817 Cabots Trace okay thanks a lot you're welcome 
377,110,1035795286,1,0.258819045,0.866025404,-0.5,0.5,6.12E-17,0.866025404,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,it's Maria smile the office killer cold Nancy Beverly hello Diane I call you yesterday regarding the eval and he was so we can have know what the minell be paid for any other technical work I can do Monday afternoon Wednesday morning Tuesday morning I can place a fucking call so he between 9/11 okay they just busy right now you're welcome 
