Unique Id,Call Id,Words,,
10,662277217,okay take your flyer so how are you don't work on boy last hurry right away looking for what exactly is wrong with it leaking or is it okay her daughter to the boiler that correct I feel bad I forgot to get your problem I can I can certainly a schedule that and I will have someone come out and go ahead with her okay Dallas this crap come on site solution crackly work involves give you an accurate price before he start heading work then he will go ahead and forward you come equipped to get to work I'll be done work for you before let it up okay so I can schedule someone else you want morning or afternoon Department comma will give you a harmonica and then they can schedule it for you looking exactly archives and I think when we can car is it something that you want it done like right away or for sure her problem that's maker with your first name i r address Patrick I'm sorry capoeira that's not a problem it's actually work on the boiler I'm not sure who is he back yet hello okay okay Peter bye your home number please I would like 613-968-5636 where you recommend someone for who okay okay no problem like I said before I will have someone give you a call back to let me know an exact date and time if you want this within a couple of like I said lesson for next week or does it matter her if we will get a hold of her to come by then okay okay bye bye ,,
11,662277217,okay bye bye ,,
12,662337504,how can you how are you hello Diana speaking how are you therefore you sent me commute to work right now hi I can do first thing Friday again I guess give her a stretch then and then go from there I hope you thanks 8026 the final I am you guys know that this is what I want 3264 my boiler they had to tell my my daughter ,,
13,662337504,how can you how are you hello Diana speaking how are you therefore commute to work right now I can give her some Friday again I guess give her a stretch then and then go from there I hope you get 8026 the final I am Raymond love you guys know that this is what I want 3264 my boiler they had to tell my my daughter ,,
14,662337504,plastic how can I do for you hello Diana speaking how are you in there hey Sam in at the come do some work I can give her some Friday then I guess trusted in them go from there I hope you thanks 8026 the final I am if we do take note it is 3264 my boiler tell my my daughter ,,
15,662337504,how can you how are you hello Diana speaking how are you therefore you sent me commute to work right now I can give her some products again I guess give her a stretch then and then go from there I hope you get 8026 the final I am Raymond should I be like know that this is fine but I want to 3264 my boiler they had to tell my my daughter ,,
16,662337504,How can I hello Diana speaking how are you therefore commuting to work right now I can give her some Friday he's hold hello again I guess give her a stretch then and then go from there Q thank you 8026 the final I am service we do you guys know that this is what I want 3264 my boiler they had to tell my my daughter ,,
17,662337504,how can you how are you hello Diana speaking how are you therefore somewhere I can give her some Friday I'm going to guess good afternoon go from there you get 8026 the final I am Raymond service we do take note it is we do assets for my boy to tell my my daughter how ,,
18,663231491,thank you for calling sign in hey we're calling Finance Services me know how to make you smile I will it would be after hours IQ office is closed closed at 4 so it would be after hours now I can let them know in the office there and what is your name hey what's your address Wells Crescent and as in London or if I can watch your phone number have a nine four five five seven 210 so I give you a call back tomorrow morning to set something up at 7:30 ,,
19,663231491,thank you for calling sign in hey we're calling Finance Services me know how to make you smile I will it would be after hours IQ office is closed closed at 4 so it would be after hours now I can let them know in the office there and what is your name hey what's your address Wells Crescent and as in London or if I can watch your phone number have a nine four five five seven 210 so I can give you a call back tomorrow morning to set something up safe at 7:30 ,,
20,663231491,thank you for calling sign in hey we're calling Finance Services me know how to make you smile I will it would be after hours like your office is closed closed at 4 so it would be after hours now I can let them know in the office there and what is your name hey what's your address Wells Crescent and as in London perfect and what your phone number have a nine four five five seven 210 so I give you a call back tomorrow morning to set something up at 7:30 ,,
21,663231491,thank you for calling sign in hey we're calling Finance Services me know how to make you smile I will it would be after hours IQ office is closed closed at 4 so it would be after hours now I can let them know in the office there and what is your name hey what's your address Wells Crescent and as in London perfect and what your phone number have a nine four five five seven 210 so I give you a call back tomorrow morning to set something up at 7:30 ,,
22,663231491,thank you for calling sign in hey we're calling Finance Services me know how to make you smile I will it would be after hours IQ office is closed closed at 4 so it would be after hours now I can let them know in the office there and what is your name hey what's your address Wells Crescent and as in London or if I can watch your phone number have a nine four five five seven 210 so I give you a call back tomorrow morning to set something up at 7:30 ,,
23,663231491,thank you for calling sign in hey we're calling final service it's Mina I can make you smile I will it would be after hours IQ office is closed closed at 4 so it would be after hours now I can let them know in the office there and what is your name hey what's your address Wells Crescent and as in London or if I can watch your phone number have a nine four five five seven 210 small so I give you a call back tomorrow morning to set something up so fast 7:30 gum ,,
24,664262469,Richard call Rachel ,,
25,664262469,a great day for your child aquarius thinking hoping to make a smile all calling annual maintenance and I need to give you a new credit card number 689 40th Street in London h o l now I put a Visa Mastercard 1620 6757 5975 3:20 the CVV number on the back of 584 Richard Hall h Al ,,
26,664262469,Richard Hall h o l ,,
27,664262469,a great day for your child aquarius weekend hoping to make a smile all calling annual maintenance and I need to give you a new credit card number 689 40th Street in London h o l now 1620 6757 5975 3:20 and the CVV number on the back of 584 Richard Hall h o l ,,
28,664262469,okay for sure like for this weekend hoping to make a smile all calling annual maintenance and I need to give you a new credit card number 689 40th Street in London h o l now I said a Visa card 1620 6757 5975 3:20 the CVV number on the back of 584 Richard call Rachel ,,
29,664262469,the Great Depression Aquarius again hoping to make a smile all calling annual maintenance and I need to give you a new credit card number 689 40th Street in London h o l now I put the card 1620 677 575 3:20 the CVV number on the back of 584 Richard call Rachel ,,
30,664539683,I will let you know ,,
31,664539683,I will let you know the way ,,
32,664539683,spank my phone home services to Terry how to make your phone hey just to let you know there is a $49 policy for today if I do have call yes fault s h he w f elt Birch bir CH okay one word and your phone Harbor +947-039-471-7503 v e mean blower wheel is Jose Phyllis I will let you know the way ,,
33,664539683,I will let you know that way ,,
34,664539683,I will let you know the way ,,
35,664539683,I will let you know the way ,,
36,664688822,service Maria speaking how can I make you smile the job place sure it's 7 about the gas fireplace from the the display yes sure that's fun hi this is Kevin calling I was there at your your store there a few months ago maybe you had come by to pick out that some gas fireplaces you had on display there it was on TV where to pick it up later on this week I'm just wanted to let you know that was fine and if you give me a call back at 519-777-1198 and again this is Kevin thank you ,,
37,664688822,okay no service Maria speaking how can I make you smile is Crystal John's Place sure it's 7 about the gas fireplace from the the display yes sure that's fun I was there at your store there ask ohh maybe you are I had to come by to pick out that some gas fireplaces you had on display there it was on TV where to pick it up later on this week I'm just wanted to let you know that was fine and if you give me a call back at 519-777-1198 and again this is Kevin thank you ,,
38,664688822,okay there's no service Maria speaking how can I make you smile it's Crystal job please sure it's 7 about the gas fireplace from the the display yes sure that's fun hi Kevin calling I was there at your store there Moscow maybe you had come by to pick out that some gas fireplaces you had on display there it was on cue gee we're to pick it up later on this week I'm just wanted to let you know that was fine and if you give me a call back at 519-777-1198 and again this is Kevin thank you ,,
39,664688822,okay there's no service Maria speaking how can I make you smile it's Crystal job please sure it's 7 about the gas fireplace from the the display yes sure that's fun hi this is Kevin calling I was there at your your store there Moscow maybe she had come by to pick up that gas fireplaces you had on display there it was on TV where to pick it up later on this week just wanted to let you know that was fine and if you give me a call back at 519-777-1198 and again this is Kevin thank you ,,
40,664688822,okay there's no service Maria speaking how can I make you smile it's Crystal job please sure it's 7 about the gas fireplace from the the display yes sure that's fun hi this is Kevin calling I was there at your your store there a few months ago maybe you had come by to pick out that some gas fireplaces you had on display there it was on cue gee we're to pick it up later on this week I'm just wanted to let you know that was fine and if you give me a call back at 519-777-1198 and again this is Kevin thank you ,,
41,664688822,okay there's no service Maria speaking how can I make you smile the job place sure it's 7 about the gas fireplace from the the display yes sure that's fun I was there at your store there so maybe she'll come by to pick up that gas fireplaces you had on display there it was on TV where to pick it up later on this week just wanted to let you know that was fine and if you give me a call back at 519-777-1198 and again this is Kevin thank you ,,
42,664922979,speaking hoping to make you smile so best to do it over with music goes out over the rates and so forth so see what we serve which is let me know yeah so and I think that's where it is feel like someone to come out and go over everything with you her near pussy Lisa Smiley speaking now with the dark yes soul circus Lisa and I are we done for you before court phone number 94717 71 for this Friday he's got be like a 3:30 now to do 3 or is that a little bit 2 with friends people passes for an appointment like four six now who's the most from us God bless us with any questions you may need you may have you email schools are that's a sexy sorry for me do you with the reason for the phone ,,
43,664922979,Greg it's Maria speaking how can I make you smile so best to do it this promotion is over with music goes out over the rates and so forth so see what which is we know it's over 10 so yeah yeah so I never know when I think place feel like I'm going to come out and go over everything with you earlier to see Lisa Smiley speaking you know so please hurry so and I'll wait for you before court number 94717 71 you said for this Friday he's got ask her for if you can assist be like a 3:30 now to do 3 or is that a little bit 2 with first people passes for an appointment like for Salmon Arm now who's the most from us Falcons that unless is fine any questions you may need you may have you know school for that if that's cool trauma 3:30 do you listen series as always ,,
44,664922979,speaking hoping to make you smile so best to do as far as music goes out over the rates and so forth so see what we serve which is let me know yeah so when I think they started feel like someone to come out go over everything with you her near pussy Lisa Smiley speaking you know so please hurry so and I'll wait for you before court phone number 509-471-4771 you said for this Friday he's got 30 if you can Susan's assist be like a 3:30 now to do 3 or is that a little bit with friends passes for an appointment like for Salmon Arm now who's most from a Falcons God bless is fine any questions you may need you may have you email schools are that's a sexy sorry okay 330 do you listen series as always ,,
45,664922979,Greg it's Maria speaking how can I make you smile so best to do it this promotion is over with music goes out over the rates and so forth so see what which is we know it's over 10 so yeah yeah so and I think place feel like I'm going to come out and go over everything with you earlier pussy Lisa Smiley speaking you know so please hurry so and I'll wait for you before court phone number 519-471-4771 you said for this Friday he's got if you can assist be like a 3:30 now to do 3 or is that a little bit 2 with friends people passes for an appointment like for salmon now who's most from a said lots of smiles any questions you may need you may have you email school for that if that's cool sorry for me do you with the reason for the snow and ice ,,
46,664922979,Greg it's Maria speaking how can I make you smile so that to do it's almost over with music goes out over the rates and so forth so see what which is we know it's a weekend but yeah so and I think place feel like I'm on the go over everything with you earlier to see Lisa Smiley speaking you know so Lisa and I are we don't work for you before number is 509-471-4771 you said for this Friday he's got if you can Susan's assist be like a 3:30 now to do 3 or is that a little bit with friends passes for an appointment like 460 it's Joe Eminem now who's the most from a God bless us with any questions you may need you may have you email schools are that's a sexy sorry 3:30 do you with the reason for the phone ,,
47,664922979,speaking hoping to make you smile so best to do as far as music goes out over the rates and so forth so see what which is let me know yeah so when I think of a square feel like someone to come out and go over everything with you her near pussy Lisa Smiley speaking you know so please hurry so and I'll wait for you before court phone number is 419-471-4771 you said for this Friday he's got 30 if you can Susan's assist be like a 3:30 now to do 3 or is that scrap metal little bit 2 with friends people passes for an appointment like for Salmon Arm now who's the most from us that unless is fine any questions you may need you may have you know school for that if that's cool trauma 3:30 do you listen series as always ,,
48,665786802,it's a great fun in home service that we make you smile yes talking Jean if it was earlier and I was wondering if I don't know whether he is the person who was wondering if I could make an appointment to see the furnace might be suitable for my home and in order to take me 23 tangle wood all one word tangle City so sword sword Monday or I could do Wednesday afternoon fine okay just one moment so Monday the 29th at 3 o'clock that's and you have my yes you okay thanks so much ,,
49,665786802,so Monday the 29th at 3:00 thank you you have okay thanks so much ,,
50,665786802,it's so Monday the 29th at 3 o'clock okay thanks so much ,,
51,665786802,service tech we make you smile yes talking Sean it was earlier today and I was wondering if I don't know whether he is the person who comes I wondered if I could make an appointment to see kind of firm might be suitable for my home and in order to take for beef 23 Tanglewood all 1 cities salt order Monday or I could do Wednesday afternoon 3 o'clock fine okay just one moment it's so Monday the 29th at 3:00 okay thanks so much ,,
52,665786802,it's a great fun in home service that we make you smile yes talking Sean I guess it was earlier and I was wondering if I don't know whether he is the person who wondered if I could make an appointment to see kind of firm might be suitable for my home and didn't order to take the 6:23 tangle wood all one word angle City so ord board hi Monday or I could do Wednesday afternoon fine okay just one moment it's so Monday the 29th at 3:00 thank you you have okay thanks so much ,,
53,665786802,it's so Monday the 29th at 3 o'clock okay thanks so much bye ,,
54,665820027,it's a great service Maria speaking how can I make it's miles from me we bring someone as far as to give a quote on having switches phones as well as think that letter obviously at the the illegal so sorry it's a quote to how many we need currently wired switch on the fan in the lights and they would like them to change to 241 which were the right ones with the stamps problems with everything is the address 145 Central Avenue so I will forward this on to the dispatch department they will give you a call with an exact time and date when someone could come out is there a better time for you or OC Fair from 8 to 4:30 perfect she's like the price forums the bra size car see you Wednesday are you there perfectly we're allowed to get hold of you shortly perfect fishing ,,
55,665820027,perfect I love close of her appreciate ,,
56,665820027,it's a great service Maria speaking how can I make it's miles we bring someone expertise to give a quote on having some switches phones as well as him that letter obviously at the I see your legal so sorry it's a quote to how many currently wired switch for the fan in the lights and they would like them to change to 241 which were the right ones with the stamps problem everything is the address 145 Central Avenue so I will forward this on to the dispatch department they will give you a call with an exact time and date when someone could come out is there a better time for you or OC Fair from 8 to 4:30 perfect she's like alright bye forums the bra size car doing the work see you Wednesday are you perfect I love close of herpes ,,
57,665820027,perfect I love close of herpes ,,
58,665820027,perfect I love close of her appreciate ,,
59,665820027,it's a great service Maria speaking how can I make it's miles Maria my name we pray for someone else to give a quote on having some switches phones as well as he that letter obviously at the the illegal sister it's a quote to how many we need problem everything 145 Central Avenue so I will forward this on to the dispatch department they will give you a call with an exact time and date when someone to come out is there a better time for you or OC Fair from 8 to 4:30 perfect forum the bra size car doing the work see you Wednesday are you perfect I love close of herpes ,,
60,666269220,smile for you isn't working it's not sticking in and boiling yeah so are with regards to having someone come out and maybe do some service what would that be or how do we go about that it is a gas water heater perfecto so you think it may be something that is isolated or Plumbing or the electric pilot light or whatever the heck it is I did read on the other side of it to try and has a shut off on the gas and then unplug it where it has the fence the fence and then it says turn it back on and plug it back in and and turn it too low or whatever but I did that process twice and it went through a paper like electrically and then it a little red light that's that's the place because I think it beeps like it it doesn't it doesn't do what it supposed to do so then the low red light starts laughing at me second not working I don't know how you did it start doing so of course you know they will be a bill my way to work okay what it is and you kind of give me an idea of what it might be and how much that would cost if I see what the issues are and so kind of offers come in for some reason if you could look at the new parts and have to go get it from back cuz you're not on the clock but he keeps given up some prices so and what is the starter whatever like a little later Pete their part what is it usually do you know where you can't really quote that was okay alright your diagnostic evaluation is $99 okay alright let me come back and just after everything that's going to be the norm across the board I would think but with regards to parts and pieces I don't know what the brand if I look very diligently to find out what the brand on my hot water here I can't find the damn thing or if it's whatever Terry or whatever the heck other brands writer American Standard whatever brand or do it that would probably help me make a decision to would you be able to get out there like late obviously have no hot water so we could you could we arrange calls skull hurts so if late into the baby guys doing 5:00 so could I guess not a point that I get appointment tonight at 35325 I am going to go ahead and book it I will go ahead and book it it as long as I'm not going to get ripped I know I I've had a few people speak highly of you so I'm going to trust that you're you're on it then you're not going to you're not going to come and put me $500 because play frankly out I would probably look at replacing the unit if that was the case but I don't want to I don't want to go down that road and I don't want to do that if it's see if I can fix it for a few hundred bucks you know so can I just finished with Evan levey a.m. fireman you e our m a n you are M as in man a as the fireman yep the address is 1934 Bloom Crescent bllom dresses near a postal code area it up in my phone hold on this app 34 Glen Griffin in London and it's the M5 for free phone number is 509 639 9723 that's my cell number alright so I'll I'll stay home from work 434 you'll be there between 3 and 5 liter I like it okay okay just an example ,,
61,666269220,smile for you isn't working it's not sticking in and boiling yeah so are with regards to having someone come out and maybe do some service what would that be or how do we go about that it is a gas water heater perfecto so good so good maybe something that is isolated or permit for the electric pilot light or whatever the heck it is I did read is on the other side of it to try and has a shut off on the gas and then unplug it where it has the fence the fence and then it says turn it back on and plug it back in and and turn it too low or whatever but I did that process twice and it went through a paper like electrically and then it a little red light that's that's the place because I think it beeps like it it doesn't doesn't do what it supposed to do so then the little red light starts laughing at me second not working I don't know when did you start doing for you know they will be home til 9 tomorrow okay what it is and you kind of give me an idea of what might be getting out much that would cost her $60 so give you an accurate less than 10% of all cars come through for some reason if you could deliver parts so I have to go get it from back cuz you're not on the clock but she keeps given up some prices so and what is the starter whatever like a little later Pete their part what is it usually do you know where you can't really quote that was okay alright calms your evaluation is $99 okay alright let me come back and just after everything that's going to be the norm across the board I would think but with regards to parts and pieces I don't know what the brand if I look very diligently to find out what the brand on my hot water here I can't find the damn thing or if it's whatever carrier or whatever the hell they're brand writer American Standard whatever brand or do it that would probably help me make a decision to would you be able to get out there like late obviously have no hot water so we can you cook who we arrange calls skull hurts late into the baby guys doing 5:00 so could I guess not a point that I get appointment tonight at 35325 I am going to go ahead and book it I will go ahead and book it it as long as I'm not going to get ripped I know I I've had a few people speak highly of you so I'm going to trust that you're you're on it then you're not going to you're not going to come and put me $500 because play frankly out I would probably look at replacing the unit if that was the case but I don't want to I don't want to go down that road and I don't want to do that if it's if I can fix it for a few hundred bucks you know so okay yeah fireman you are a man speak you e our M as in man hey ends the fireman yep the address is 1934 Bloom Crescent bllom prescription you're in a god postal code area look it up in my phone hold on this app 1934 Boone Crescent in London and it's been 5X 4 + 3 phone number is 509 639 9723 that's my cell number alright so I'll I'll stay home from work for free so you'll be there between 3 and 5 we are I like it I felt okay just feel like I owe you ,,
62,666269220,smile for you isn't working it's not sticking in and boiling yeah so are with regards to having someone come out and maybe do some service what would that be or how do we go about that it is a gas water heater perfect Hill so good so good maybe something that is isolated or Plumbing or the electric pilot light or whatever the heck it is I did read it on the other side of it to try it has a shut off on the gas and then unplug it where it has the fan the fan and then it says turn it back on and plug it back in and and turn it too low or whatever but I did that process twice and it went through a paper like electrically and then it a little red light that's that's the place because I think it beeps like it it doesn't doesn't do what it supposed to do so then the little red light starts laughing at me second not working I don't know how you did it start doing for you know they will be home til my way to work okay what it is and you kind of give me an idea of what it might be and how much that would cost to come 160 students so kind of offers come in for some reason if you can do parts so I have to go get it from back cuz you're not on the clock but she keeps give a letter upfront pricing so and what is the starter whatever like a little later Pete their part what is it usually do you know where you can't really quote that was okay alright calms your evaluation is $99 okay alright let me come back and just after everything that's going to be the norm across the board I would think but with regards to parts and pieces I don't know what the brand if I look very diligently to find out what the brand on my hot water here I can't find the damn thing or if it's whatever carry or whatever the heck other brands writer American Standard whatever I can't deal with brand or we could do it that would probably help me make a decision to would you be able to get out there like late better obviously have no hot water so we could you could we arrange calls skull hurts so if you guys could I guess not a point could I get appointment tonight at 35325 I am going to go ahead and book it I will go ahead and book it it as long as I'm not going to get ripped I know I I've had a few people speak highly of you so I'm going to trust that you're you're on it then you're not going to you're not going to come and put me $500 because play frankly out I would probably look at replacing the unit if that was the case but I don't want to I don't want to go down that road and I don't want to do that if it's if I can fix it for a few hundred bucks you know so can I just finished 7 P am fireman you e our m a n you are M as in man a as the fireman yep the address is 1934 Bloom Crescent bllom dresses near a postal code area up in my phone hold on 34 Glen Griffin in London and it's been 5X for 3 my phone number is 509 639 9723 that's my cell number alright so I'll I'll stay home from work 434 you'll be there between 3 and 5 liter I like it okay okay colonics you ,,
63,666269220,smile for you isn't working it's not sticking in and boiling yeah so are with regards to having someone come out and maybe do some service what would that be or how do we go about that it is a gas water heater perfecto so you think it may be something that is assassinated or Plumbing or the electric pilot light or whatever the heck it is I did read it on the other side of it to try and has a shut off on the gas and then unplug it where has the fence the fence and then it says turn it back on and plug it back in and and turn it too low or whatever but I did that process twice and it went through a paper like electrically and then it a little red light that's that's the place because I think it's like it it doesn't doesn't do it supposed to do so then the little red light starts laughing at me second not working I don't know I just did it start doing so of course you know they will be on my way to work okay what it is and you kind of give me an idea of what it might be getting out much that would cost her students and I got so give you an accurate price after the diagnostic and then from that as you can do the work 80% of all cars come in for some reason if you didn't have that particular part so I have to go get it come back cuz you're not on the clock but she keeps give a letter upfront pricing so and just a starter whatever or like a roller part what is it usually piano or you can't really quote that was okay alright calms your evaluation is $99 okay alright let me come back and just after everything that's going to be the norm across the board I would think but with regards to parts and pieces I don't know what the brand if I look very diligently to find out what the brand on my hot water here I can't seem to find the damn thing or if it's whatever carrier or whatever the heck of a brand American Standard whatever brand or we could do it that would probably help me make a decision to would you be able to get out there like late look at it obviously have no hot water so we can you cook who we arrange calls skull hurts so late in the day be 5:00 so could I guess not a point that I get appointment tonight at 35325 I am going to go ahead and book it I will go ahead and book it it as long as I'm not going to get ripped I know I I've had a few people speak highly of you so I'm going to trust that you're you're on it then you're not going to you're not going to come and put me $500 because play frankly I would I would probably look at replacing the unit if that was the case but I don't want to I don't want to go down that road and I don't want to do that if it's if I can fix it for a few hundred bucks you know so so can I get your new 7 P am firemen you e our m a n you are M as in man a as fireman yep the address is 1934 Bloom Crescent bllom dresses Irena both Dakota I look it up in my phone hold on Crescent in London and it's the M5 for 3 my phone number is 509 639 9723 that's my cell number I saw it I'll stay home from work for 3 that you'll be there between 3 and 5 we are like it okay okay okay ,,
64,666269220,smile for you isn't working it's not sticking in and boiling yeah so are with regards to having someone come out and maybe do some service what would that be or how do we go about that it is a gas water heater so you think it may be something that is I guess deleted or Plumbing or the electric pilot light or whatever the heck it is I did read is on the other side of it to try it has a shut off on the gas and then unplug it where it has the fence the fence and then it says turn it back on and plug it back in and and turn it too low or whatever but I did that process twice and it went through a paper like electrically and then it a little red light that's that's the place because I think it'd be like it it doesn't doesn't do what it supposed to do so then the low red light starts laughing at me second not working I don't know how you did it start doing so of course you know they will be home til my mouth okay what it is and you kind of give me an idea of what it might be and how much that would cost her $60 so give you kind of ours down there for some reason if you do parts so I have to go get it come back cuz you're not on the clock but she keeps give a letter upfront pricing starter whatever like a little later part what is it usually you know where you can't really quote with us okay alright calms your evaluation is $99 okay alright let me come back and just after everything that's going to be the norm across the board I would think but with regards to parts and pieces I don't know what the brand if I look very diligently to find out what the brand on my hot water here I can't seem to find the damn thing or if it's whatever carrier or whatever the heck other brands writer American Standard whatever brand or do it that would probably help me make a decision to would you be able to get out there like late better obviously have no hot water so we could you could we arrange calls late in the day 5 o'clock so could I guess not a point that I get appointment tonight at 35325 I am going to go ahead and book it I will go ahead and book it it as long as I'm not going to get ripped I know I I've had a few people speak highly of you so I'm going to trust that you're you're on it then you're not going to you're not going to come and put me $500 because play frankly out I would probably look at replacing the unit if that was the case but I don't want to I don't want to go down that road and I don't want to do that if it's see if I can fix it for a few hundred bucks you know so so can I get your new 7 D VA M fireman you e our m a n you are M as in man hey ends the fireman yep the address is 1934 Bloom Crescent bllom precious near a postal code area it up in my phone hold on 94 Glen Griffin in London and it's been 5X for 3 my phone number is 509 639 9723 that's my cell number alright so I'll I'll stay home from work for 3 so you'll be there between 3 and 5 we are I like it okay okay okay ,,
